"en","zh","g","resource_kind","source_url","source_text","source_version","verified_at","review_status","reviewer"
"creative-maestro","創意總指揮","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"content-engine","內容引擎","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"copy-magician","文案魔法師","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"visual-director","視覺導演","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"trend-radar","趨勢雷達","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"strategy-compass","策略羅盤","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"insight-analyst","數據洞察者","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"experiment-architect","實驗建築師","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"community-catalyst","社群推手","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"marketing-artist","行銷畫師","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"brand-architect","品牌建築師","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"project-orchestrator","專案總監","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"safety-guard","安全守衛","🌳 AI 創意合夥人團隊（自訂技能）","技能","","","","","待逐筆查證",""
"docx","Word 文件","Anthropic 內建 · 文件與簡報","技能","","","","","待逐筆查證",""
"pptx","PowerPoint 簡報","Anthropic 內建 · 文件與簡報","技能","","","","","待逐筆查證",""
"xlsx","Excel 試算表","Anthropic 內建 · 文件與簡報","技能","","","","","待逐筆查證",""
"pdf","PDF 處理","Anthropic 內建 · 文件與簡報","技能","","","","","待逐筆查證",""
"doc-coauthoring","文件共筆","Anthropic 內建 · 文件與簡報","技能","","","","","待逐筆查證",""
"internal-comms","內部溝通","Anthropic 內建 · 文件與簡報","技能","","","","","待逐筆查證",""
"canvas-design","視覺設計","Anthropic 內建 · 設計與視覺","技能","","","","","待逐筆查證",""
"algorithmic-art","演算法藝術","Anthropic 內建 · 設計與視覺","技能","","","","","待逐筆查證",""
"theme-factory","主題工廠","Anthropic 內建 · 設計與視覺","技能","","","","","待逐筆查證",""
"brand-guidelines","Anthropic 品牌規範","Anthropic 內建 · 設計與視覺","技能","","","","","待逐筆查證",""
"slack-gif-creator","Slack 動圖製作","Anthropic 內建 · 設計與視覺","技能","","","","","待逐筆查證",""
"web-artifacts-builder","網頁 Artifact 建置","Anthropic 內建 · 設計與視覺","技能","","","","","待逐筆查證",""
"skill-creator","技能建立器","Anthropic 內建 · 工具與自動化","技能","","","","","待逐筆查證",""
"mcp-builder","MCP 伺服器建置","Anthropic 內建 · 工具與自動化","技能","","","","","待逐筆查證",""
"schedule","排程任務","Anthropic 內建 · 工具與自動化","技能","","","","","待逐筆查證",""
"consolidate-memory","記憶整合","Anthropic 內建 · 工具與自動化","技能","","","","","待逐筆查證",""
"setup-cowork","Cowork 引導設定","Anthropic 內建 · 工具與自動化","技能","","","","","待逐筆查證",""
"deep-research","深度研究","Anthropic 內建 · 工具與自動化","技能","","","","","待逐筆查證",""
"brand-review","品牌審查","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"campaign-plan","活動企劃","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"competitive-brief","競品簡報","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"content-creation","內容創作","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"draft-content","撰寫內容","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"email-sequence","郵件序列","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"performance-report","成效報告","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"seo-audit","SEO 稽核","Marketing 行銷 (marketing)","外掛型技能","","","","","待逐筆查證",""
"account-research","客戶研究","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"call-prep","通話準備","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"call-summary","通話摘要","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"competitive-intelligence","競爭情報","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"create-an-asset","銷售素材","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"daily-briefing","每日簡報","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"draft-outreach","開發信草擬","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"forecast","銷售預測","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"pipeline-review","管線檢視","Sales 銷售 (sales)","外掛型技能","","","","","待逐筆查證",""
"account-research","帳戶研究","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"call-prep","通話準備","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"compose-outreach","個人化開發","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"contact-research","聯絡人研究","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"generate-account-plan","策略帳戶計畫","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"prospect","名單建立","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"weekly-brief","每週簡報（指令）","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"weekly-prep-brief","每週外部會議簡報","Common Room 社群情報 (common-room)","外掛型技能","","","","","待逐筆查證",""
"account-research","帳戶研究簡報","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"build-list","建名單","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"buying-committee","採購決策圈","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"competitor-analysis","競品分析","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"enrich-company","公司補全","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"enrich-contact","聯絡人補全","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"find-similar","找相似","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"meeting-prep","會議準備","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"personalize-email","個人化郵件","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"recommend-contacts","推薦聯絡人","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"score-accounts","帳戶評分","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"score-leads","名單評分","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
